Name,Type,Notes
CORPORATE PURCHASER ROLE,Class,"The role of purchasing FARE PRODUCTs on behalf of a corporate body such as a company, school, government department, etc."
PURCHASER ROLE,Class,The role of the party who pays for a travel service for one or more TRANSPORT CUSTOMERs.
FC Control & Validation - Control Structure,UMLDiagram,
,Note,"1. Customer purchase of TRAVEL DOCUMENT indicating access rights - i.e., Product Fare Structure of VALIDABLE/ CONTROLLABLE elements that can be controlled."
FC Control & Validation - Document Cancellation,UMLDiagram,
,Note,2. Result of travel : control and marking (also called 'Cancellation' of validable elements) as CONTROLLED ACCESSes and VALIDATED ACCESSes.
,Note,3. Results of the Control &amp; Validation Process: CONTROL ENTRies and VALIDATION ENTRies.
,Text,
,Text,
,Text,
FC Control & Validation - Validation,UMLDiagram,
OTHER CONTROL MEANS,Class,"A particular means other than a control device, for example a manual procedure, used to control apply control processes."
,Note,"1. Device parameters (from a DEVICE PARAMETER ASSIGNMENT) are compared with validity parameters (from VALIDITY PARAMETER ASSIGNMENTs) to make a control.

2. The results are recorded on a CONTROL ENTRY (using CONTROL PARAMETER ASSIGNMENT(s))."
CONTROL TYPE,Class,"A classification of passenger controls, e.g., entry, exit, en route or occasional controls."
,Text,
,Text,
,Text,
DEVICE RELATED CONTROL MEANS,Class,"A specific device constituting the CONTROL MEANS to control TRAVEL DOCUMENTs.
"
CONTROL MEANS,Class,A particular means (control device or manual control procedure) used to control TRAVEL DOCUMENTs.
,Note,Control means reads travel document and checks purchase against control context.
CONTROL RECORD,Class,A LOG ENTRY recording general audit properties of a validation or control action.
CONTROL PARAMETER ASSIGNMENT,Class,An ACCESS RIGHT PARAMETER ASSIGNMENT relating a fare collection parameter to a CONTROL ENTRY.
,Text,
,Text,
CONTROL ENTRY,Class,"The description of a control action, i.e., the comparison of actual and current parameters (time, location, etc.) to the access rights to which the holder of a TRAVEL DOCUMENT is entitled."
,Note,Validation compares parameters from device or other control means (DEVICE PARAMETER ASSIGNMENT) with those of TRAVEL DOCUMENT and / or CUSTOMER PURCHASE PACKAGE (CUSTOMER PURCHASE PARAMETER ASSIGNMENT) and creates VALIDATED ACCESS with VALIDATION PARAMETER ASSIGNMENTS to record validated parameters.
VALIDATED ACCESS,Class,"A validated use of a VALIDABLE ELEMENT, composed of ACCESSED FARE STRUCTURE ELEMENTs."
,Text,
,Text,
VALIDATION PARAMETER ASSIGNMENT,Class,An ACCESS RIGHT PARAMETER ASSIGNMENT relating a fare collection parameter to a VALIDATED ACCESS or one of its components.
OFFENCE,Class,A log entry providing data on a violation of fare rules.
VALIDATION ENTRY,Class,"The result of the comparison between one or several CONTROL ENTRies and the theoretical access rights attached to the TRAVEL DOCUMENT controlled, validating the right to consume and possibly providing a DEBIT or one or more OFFENCEs."
ACCESSED FARE STRUCTURE ELEMENT,Class,"A validated use of a FARE STRUCTURE ELEMENT, composed of CONTROLLED ACCESSes."
TYPE OF OFFENCE,Class,"A classification of OFFENCE, for example wrong CLASS OF SEAT, not valid for PRODUCT CATEGORY, etc."
DEVICE PARAMETER ASSIGNMENT,Class,An ACCESS RIGHT PARAMETER ASSIGNMENT expressing the location (or other fixed parameters) of a CONTROL MEANS.
CONTROLLED ACCESS,Class,A validated use of a CONTROLLABLE ELEMENT.
,Text,
FE Account Processing MODEL,Package,
FE Passenger Travel Control MODEL,Package,
FE Passenger Travel Control Event MODEL,Package,
FE Passenger Travel Control Log Entry MODEL,Package,"Description of PASSENGER CONTROL ENTRies that result from customer travel.
"
PASSENGER SECURITY LIST CHECK EVENT,Class,"A check of some aspect of the passengers travel credentials against a SECURITY LIST, usually triggered by another PASSENGER TRAVEL CONTROL EVENT such as check in at the start of a trip."
CONTROL PASSENGER TRIP EVENT,Class,"The control of the consumption of access rights by the inspection of a TRAVEL DOCUMENT by a <font color=""#0f0f0f"">travel document inspector</font>."
,Text,
PASSENGER CHECK IN EVENT,Class,A passenger action to check in at the start of a trip.
PASSENGER WAY POINT EVENT,Class,A passenger action to check in at a way point along a trip.
PASSENGER TRAVEL CONTROL EVENT,Class,"An event concerned with validating or controlling a passengers use of the transport network.
"
,Text,
PASSENGER ACTIVATE TRIP EVENT,Class,"A passenger action to initiate the consumption of access rights, usually at the start of a trip, for example by stamping a ticket at a validator device, or by an online interaction. "
PASSENGER CHECK OUT EVENT,Class,A passenger action to check out at the end of a trip.
CONTROL REVERT FARE EVENT,Class,"A control action to reverse the consumption of access rights, usually at the start of a trip, for example by restoring the validity of a ticket that has been accidentally marked as used.
NOTE: Usually done by a ticket controller."
,Text,
,Note,"Access rights from CUSTOMER PURCHASE PACKAGE or TRAVEL DOCUMENT are compared with context of inspection (e.g., at entrance/exit, or onboard as DEVICE PARAMETER ASSIGNMENT) to create validated ACCESSED FARE STRUCTURE ELEMENTs with validated parameters (VALIDATION PARAMETER ASSIGNMENT)."
PASSENGER WAY POINT ENTRY,Class,A PASSENGER TRAVEL ENTRY recording a passenger checking in at a way point while in a trip so as to indicate travel by a specific itinerary.
FARE TRIP ACTIVATION ENTRY,Class,"<font color=""#0f0f0f"">A PASSENGER TRAVEL ENTRY recording the initiation of the consumption of access rights by a TRANSPORT CUSTOMER making a trip, for example by means of marking a TRAVEL DOCUMENT using a ticket validator machine.</font>
"
PASSENGER CHECK OUT ENTRY,Class,"A PASSENGER TRAVEL ENTRY recording the check-out of a passenger at a barrier or validation point at the end of a journey.
NOTE: May trigger post payment.
"
CONTROL PASSENGER TRIP ENTRY,Class,"A PASSENGER TRAVEL ENTRY recording the control of the consumption of access rights by the inspection of a TRAVEL DOCUMENT by a TRAVEL DOCUMENT CONTROLLER.
NOTE: May include marking (cancellation) of the TRAVEL DOCUMENT."
PASSENGER TRAVEL ENTRY,Class,An abstract VALIDATION ENTRY relating to control of the PASSENGER.
,Text,
PASSENGER CHECK IN ENTRY,Class,"A PASSENGER TRAVEL ENTRY recording the check-out of a passenger at a barrier or validation point at the end of a journey.
NOTE: May trigger prepayment.
"
CONTROL FARE REVERSION ENTRY,Class,"<font color=""#0f0f0f"">A PASSENGER TRAVEL ENTRY recording the reversal of the consumption of access rights, </font>usually at the start of a trip, for example by restoring the validity of a ticket that has been accidentally marked as used.
NOTE: Usually done by a ticket controller."
,Text,
FE Travel Match MODEL,Package,
FE Account Processing Event MODEL,Package,
FE Revenue Protection Log Entry MODEL,Package,"Description of revenue protection entries that take place through customer interaction with a fare management system.
"
FE Travel Match Log Entry MODEL,Package,
FE Travel Match Event MODEL,Package,
,Text,
,Text,
NO CHECK IN DETECTED ENTRY,Class,"A PASSENGER TRAVEL ENTRY recording the detection that a passenger has failed to check in at the end of a journey.
NOTE: This may be triggered by a subsequent check in or by back office processes looking for unmatched way point check in and check out events within a specified window."
,Text,
PASSENGER USED SAME STOP ENTRY,Class,A PASSENGER TRAVEL ENTRY recording the detection of a passenger re-entering a station within a threshold period.
,Text,
NO CHECK OUT DETECTED ENTRY,Class,"A PASSENGER TRAVEL ENTRY recording the detection that a passenger has failed to check out at the end of a journey.
NOTE: This may be triggered by a subsequent check in or by back office processes looking for unmatched check in and check out events within a specified window."
UNMATCHED TRAVEL ENTRY,Class,A PASSENGER TRAVEL ENTRY recording the detection that an incompletely recorded trip has been detected. 
ACCOUNT PROCESSING EVENT,Class,An event initiated by the processing of a CUSTOMER ACCOUNT by an Account Based Ticketing system.
,Text,
ACCOUNT DETECT SUSPICIOUS BEHAVIOUR EVENT,Class,"The detection by an Account Based Ticketing system of suspicious or fraudulent use of a TRAVEL DOCUMENT, for example being used in two different places at the same time.
"
ACCOUNT DETECT REENTRY EVENT,Class,"The detection by an Account Based Ticketing system of reentry at the same station within a specified threshold period.
"
ACCOUNT DETECT NO CHECK OUT EVENT,Class,"The detection that a passenger has failed to check out at the end of a trip.
NOTE: This may be triggered by a subsequent check in on a new journey or by back office processes looking for unmatched check in and check out events within a specified window.
"
ACCOUNT DETECT TRIP EVENT,Class,"The detection by an Account Based Ticketing system of a trip made by the user that needs to be accounted for.
"
ACCOUNT DETECT NO CHECK IN EVENT,Class,"The detection that a passenger has failed to check in at the beginning of a trip.
NOTE: This may be triggered by a subsequent check out or by back office processes looking for unmatched check in and check out events within a specified window.
"
,Text,
SECURITY LIST CHECK FAIL ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the failure to pass a security check, either through being on a BLACKLIST or not being on a required WHITE LIST.
"
NO ACCESS RIGHTS ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the detection of a TRANSPORT CUSTOMER travelling without having purchased access rights
"
NO PROOF ON PERSON ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the detection of a customer who claims to have purchased access rights but has no proof, e.g., TRAVEL DOCUMENT on their person."
TRAVEL DOCUMENT CONFISCATION ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the confiscation of a TRAVEL DOCUMENT from a TRANSPORT CUSTOMER because of an OFFENCE.
"
REVENUE PROTECTION ENTRY,Class,An abstract FARE CONTRACT ENTRY representing the recording of an event relating to revenue protection.
SUSPICIOUS BEHAVIOUR ENTRY,Class,A REVENUE PROTECTION EVENT recording the detection of suspicious behaviour.
,Text,
INSUFFICIENT ACCESS RIGHTS ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the result of the comparison between one or several CONTROL ENTRies and the theoretical access rights attached to the TRAVEL DOCUMENT controlled, detecting insufficient rights to consume and possibly giving rise to a FARE DEBIT or one or more OFFENCEs."
,Text,
,Note,"A SECURITY LIST ALLOW ENTRY records the clearing of a item from a BLACK LIST or its addition to a WHITE LIST.
"
,Text,
,Note,"SECURITY LIST FAIL ENTRY is created when a TRAVEL DOCUMENT, CUSTOMER, etc., is found to be on a BLACK LIST or not on a required WHITE LIST. Normally the check will be triggered by another travel event such as PASSENGER CHECK IN, PASSENGER CHECK OUT ENTRY etc and so be associated with a specific PASSENGER TRAVEL ENTRY. "
,Note,A SECURITY LIST DENY ENTRY records the placing of a item on a BLACK LIST or removal from a WHITE LIST.
FF Sales Transaction Frame MODEL,Package,
FF Fare Frame MODEL,Package,
FF Fare Price Frame MODEL,Package,
FF Control & Validation Frame MODEL,Package,
,Text,
FARE FRAME,Class,A set of FARE data elements to which the same VALIDITY CONDITIONs have been assigned. 
FARE FRAME DEFAULTS,Class,A set of pricing parameters and values to apply to an individual element in the FARE FRAME if no explicit value is specified on the element.
,Text,
,Note,"NB Lower level detail elements are omitted.
"
,Note,"NB Lower level detail elements are omitted.
"
,Text,
,Text,
SALES TRANSACTION FRAME,Class,A set of SALES TRANSACTION data elements to which the same VALIDITY CONDITIONs have been assigned.
,Text,
,Text,
FARE PRICE FRAME,Class,A set of FARE PRICE data elements to which the same VALIDITY CONDITIONs have been assigned. 
,Text,
,Note,"NB Lower level detail elements are omitted.
"
,Text,
CONTROL AND VALIDATION FRAME,Class,A set of Validation and Control data elements to which the same VALIDITY CONDITIONs have been assigned. 
,Text,
Fare Management Glossary,Package,
FM Abbreviationa,Package,
Fare Management Terms,Package,
ABT,Class,Account Based Ticketing
AFC,Class,Automated Fare Collection
AR,Class,Access Right
EMV,Class,Europay MasterCard Visa standards for payment cards
FM,Class,Fare Model
FP,Class,Fare Pricing
FS,Class,Fare Structure
FSM,Class,Full Service Model
IFM,Class,Full Service Model
NFC,Class,"Near Field Communication
"
OCR,Class,"Optical Character Recognition
"
OJP,Class,"Open Journey Planner
"
OSDM,Class,Open Sales and Distribution Model
SD,Class,Sales Description
ST,Class,Sales Transaction
SMS,Class,Sales Transaction
VC,Class,"Validation &amp; Control
"
access right,Class,"right to consume a Public Transport service or other service provided along with the transport
"
account based ticketing,Class,"fare collection paradigm which manages ticket issuing and validation through individual customer accounts held online and controlled by means of a token used on paper or electronic materialisations of a travel document
"
activation,Class,"triggering of the use of access rights and initiation of consumption
"
anonymous customer,Class,"CUSTOMER whose identity is not visible from their TRAVEL DOCUMENT, but who may be nevertheless be a registered customer using an anonymous token, in contrast to an impersonal customer, of whom the service operator has no individual knowledge
"
automated fare collection system,Class,"fare collection system capable of automatically determining which products the customer must purchase according to the travel he consumes
"
,Text,
base price,Class,"price that is provided as a fixed absolute amount and from which other prices may be derived

"
booking,Class,"placing of a reservation to use a specific transport service, but not necessarily entailing a purchase of a ticket

"
blacklist,Class,"revenue protection mechanism taking the form of a security list identifying travel documents, media, etc. for which the validity has been cancelled temporarily (denial) or permanently (refusal) and which will be used to block access to services for customers bearing documents associated with items on the list

"
cancellation,Class,"marking of a TRAVEL DOCUMENT as having been used
"
capping,Class,"setting of an upper limit on the price of the consumption of access rights within a certain period
"
card-centric,Class,"form of media centric ticketing where the media is a smart card
"
classical ticketing,Class,"non-electronic fare management and ticketing using paper and passive media travel documents, usually for a single operator and for simple products such as single tips, return trips or period passes.

"
control,Class,"checking of a passengerâ€™s entitlement to consume access rights, involving identification of the traveller and/or the travel rights

"
consumption,Class,"using up of access right by a transport customer as a result of travel
"
credentials,Class,"data or other mechanisms used to authenticate an actor to a system as a legitimate participant

"
derived price,Class,"price that can be computed from another base price using pricing parameters and a pricing rule

"
distributor,Class,"party who sells products on behalf of other product owners

"
